id,age,home_x,home_y,local,shop_duration,shop_starting,leisure_duration,leisure_starting,work_duration,work_starting,education_duration,education_starting
6483039,45,2539184,1154987,Lausanne,6,163,20,180,22,122,46,126
6725481,1,2538079,1151520,Lausanne,6,163,20,180,65,119,46,126
7120345,33,2537313,1152304,Lausanne,10,198,20,180,45,88,46,126
6349208,72,2538104,1154362,Lausanne,6,163,51,138,65,119,46,126
6337051,77,2539337,1152857,Lausanne,6,163,7,211,65,119,46,126
6955784,10,2537434,1154461,Lausanne,6,163,42,150,65,119,50,94
7019567,1,2537630,1153091,Lausanne,6,163,20,180,65,119,46,126
7003094,1,2537425,1152355,Lausanne,6,163,20,180,65,119,46,126
6340915,32,2536607,1153657,Lausanne,1,154,20,180,42,111,46,126
6434785,31,2537005,1153507,Lausanne,6,163,5,95,108,106,46,126
6481225,52,2537966,1152916,Lausanne,6,163,20,180,146,129,46,126
6492562,58,2536567,1153847,Lausanne,3,106,59,224,65,119,46,126
6641041,7,2537965,1152884,Lausanne,6,163,18,148,65,119,46,101
7008573,49,2537478,1153704,Lausanne,2,113,8,119,65,119,46,126
